representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCC_efficiency,1,DC-C,efficiency,HP,705.1882204501595,20107.17036451247,60.90064160784925,Cyclopentane,liquid,216515.73962075452,-1.0,3,332.6091552725377
S5_DCC_efficiency,1,DC-C,efficiency,HP,43.91874159166142,4611.555226165907,15.230795592826592,Cyclopentane,twophase,79327.81872750992,0.046926618518933295,4,315.1465008309903
S5_DCC_efficiency,1,DC-C,efficiency,HE,1451.6376227075932,221025.2348005329,1074.4433873935493,R236ea,liquid,172288.59216466593,-1.0,1,290.1328109124649
S5_DCC_efficiency,1,DC-C,efficiency,HE,1452.0286403520379,221441.9180505056,1075.0913378318548,R236ea,liquid,504185.89545383886,-1.0,2,290.397969326336
S5_DCC_efficiency,1,DC-C,efficiency,HE,32.22221146414058,409403.2959831854,1658.8436964865302,R236ea,gas,504185.89545383886,-1.0,3,329.0926225484661
S5_DCC_efficiency,1,DC-C,efficiency,HE,10.89802294905889,394177.6327885359,1664.4175816217214,R236ea,gas,172288.59216466593,-1.0,4,305.65742551488114
S5_DCC_efficiency,2,DC-C,efficiency,HP,2.1648818005648547,384663.83379354223,1221.1260686022845,Cyclopentane,gas,79327.81872750992,-1.0,1,318.1500008127832
S5_DCC_efficiency,2,DC-C,efficiency,HP,5.303828405221486,444088.18153730937,1281.1557444463356,Cyclopentane,gas,216515.73962075452,-1.0,2,363.27045718605456
S5_DCC_efficiency,2,DC-C,efficiency,HP,705.1882204501595,20107.17036451247,60.90064160784925,Cyclopentane,liquid,216515.73962075452,-1.0,3,332.6091552725377
S5_DCC_efficiency,2,DC-C,efficiency,HP,43.91874159166142,4611.555226165907,15.230795592826592,Cyclopentane,twophase,79327.81872750992,0.046926618518933295,4,315.1465008309903
S5_DCC_efficiency,2,DC-C,efficiency,HE,1451.6376227075932,221025.2348005329,1074.4433873935493,R236ea,liquid,172288.59216466593,-1.0,1,290.1328109124649
S5_DCC_efficiency,2,DC-C,efficiency,HE,1452.0286403520379,221441.9180505056,1075.0913378318548,R236ea,liquid,504185.89545383886,-1.0,2,290.397969326336
S5_DCC_efficiency,2,DC-C,efficiency,HE,32.22221146414058,409403.2959831854,1658.8436964865302,R236ea,gas,504185.89545383886,-1.0,3,329.0926225484661
S5_DCC_efficiency,2,DC-C,efficiency,HE,10.89802294905889,394177.6327885359,1664.4175816217214,R236ea,gas,172288.59216466593,-1.0,4,305.65742551488114
S5_DCD_compromise,1,DC-D,compromise,HP,1.3450416525593547,489792.6712469151,1561.0833533948303,Acetone,gas,59032.02906403053,-1.0,1,317.8358467541123
S5_DCD_compromise,1,DC-D,compromise,HP,9.625884417760705,704753.4748779519,1801.3386447345324,Acetone,gas,590632.9213615156,-1.0,2,462.4008111264404
